Game,Period,Time Start,Time Elapsed,Last Touched Player
BKN_PHI,2,8:57,1.9,N. Claxton
BKN_PHI,2,7:22,2,N. Claxton
BKN_PHI,3,10:34,2.5,N. Claxton
BKN_PHI,3,7:12,2,N. Claxton
BKN_PHI,4,9:20,2,J. Springer
BKN_PHI,4,6:46,2,T. Smith
BKN_PHI,1,2:52,2,C. Johnson
BKN_PHI,2,11:44,2.7,N. Claxton
BKN_PHI,2,5:40,2.5,T. Maxey
BKN_PHI,2,0:33,2,S. Dinwiddie
BKN_PHI,3,2:44,1.7,C. Thomas
BKN_PHI,3,2:00,1.7,M. Bridges
BKN_PHI,3,0:12,1.6,C. Johnson
TOR_NOP,1,7:59,3.5,S. Barnes
TOR_NOP,4,4:14,4,J. Alvarado
TOR_NOP,4,0:34,3.1,G. Temple
TOR_NOP,2,8:49,3.7,J. Poeltl
MIL_BOS,1,10:47,4,J. Brown
MIL_BOS,1,5:02,2.5,K. Porzingis
MIL_BOS,2,2:47,3,P. Pritchard
MIL_BOS,1,0:30,1.5,B. Portis